__id_std_norm,freq_code,expected_events,unit_labor_hours,unit_labor_cost,unit_material_cost,unit_total_cost,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost
100736,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100737,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100739,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100743,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100747,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100748,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100751,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100755,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100756,10Y,1,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,0.8844642857142857,61.23666666666667,0.0,65.60756410256411
100757,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100760,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100761,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100772,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100776,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100779,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100783,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
